ID|SABLON_KODU|SABLON_ADI|TUR|DIL|KONU|BASLIK|ICERIK|DEGISKENLER|AKTIF_MI|OLUSTURULMA_TARIHI
--|-----------|----------|---|---|----|------|------|-----------|--------|------------------
1|login_2fa_email|Giriş Güvenlik Kodu|E-posta|tr|Giriş güvenlik kodunuz|Giriş Güvenlik Kodu|Views/Email/Giris_Guvenlik_Kodu.cshtml|verification_code,user_first_name,login_time|1|2026-05-31 08:11:04
2|email_verify|E-posta Doğrulama|E-posta|tr|E-posta adresinizi onaylayın|E-posta Doğrulama|Views/Email/E-posta_Adresini_Onayla.cshtml|user_first_name,user_email,registration_date,verification_link,verification_code|1|2026-05-31 08:11:04
3|password_reset|Şifre Sıfırlama|E-posta|tr|Şifre sıfırlama talebi|Şifre Sıfırlama|Views/Email/Sifre_Sifirlama_Talebi.cshtml|user_first_name,user_email,reset_link,request_ip|1|2026-05-31 08:11:04
4|reservation_received_customer|Rezervasyon Talebi Alındı|E-posta|tr|Rezervasyon talebiniz alındı|Rezervasyon Talebi Alındı|Views/Email/Rezervasyon_Talebi_Alindi.cshtml|reservation_no,hotel_name,guest_full_name,check_in_date,check_out_date,room_type_name,total_price|1|2026-05-31 08:11:04
5|reservation_confirmed_customer|Rezervasyon Onaylandı|E-posta|tr|Rezervasyonunuz onaylandı|Rezervasyon Onaylandı|Views/Email/RezervasyonOnaylandi.cshtml|reservation_no,hotel_name,guest_full_name,check_in_date,check_out_date,room_type_name,total_price|1|2026-05-31 08:11:04
6|reservation_new_partner|Partner Yeni Rezervasyon|E-posta|tr|Yeni rezervasyon onayı|Partner Yeni Rezervasyon|Views/Email/Partner_Yeni_Rezervasyon.cshtml|reservation_no,hotel_name,guest_full_name,check_in_date,check_out_date,room_type_name,total_price|1|2026-05-31 08:11:04
7|reservation_rejected_customer|Rezervasyon Reddedildi|E-posta|tr|Rezervasyon talebiniz reddedildi|Rezervasyon Reddedildi|Views/Email/Rezervasyon_Reddedildi.cshtml|reservation_no,hotel_name,guest_full_name,cancel_reason|1|2026-05-31 08:11:04
8|reservation_guest_message|Rezervasyon Mesajı|E-posta|tr|Rezervasyon mesajınız var|Rezervasyon Mesajı|Views/Email/Rezervasyon_Mesaji.cshtml|reservation_no,hotel_name,message_body,guest_full_name|1|2026-05-31 08:11:04
9|reservation_cancelled_partner|Partner Rezervasyon İptal|E-posta|tr|Rezervasyon iptal edildi|Partner Rezervasyon İptal|Views/Email/Partner_Rezervasyon_Iptal.cshtml|hotel_manager_name,hotel_name,booking_reference,guest_full_name,check_in_date,check_out_date,room_type_name,total_price,cancel_reason|1|2026-05-31 08:11:04
10|favorite_price_alert_match|Favori Fiyat Alarmı|E-posta|tr|Fiyat alarmınız tetiklendi|Favori Fiyat Alarmı|Views/Email/Favori_Fiyat_Alarmi.cshtml|hotel_name,room_name,old_price,new_price,check_in_date,check_out_date|1|2026-05-31 08:11:04
11|contract_delivery|Sözleşme Bildirimi|E-posta|tr|Sözleşme ve KVKK paketi|Sözleşme Bildirimi|Views/Email/Sozlesme_Bildirimi.cshtml|recipient_name,module_label,contract_bundle_title,contract_sections_html,primary_contract_url|1|2026-05-31 08:11:04
12|firma_reservation_created_company|Kurumsal Rezervasyon Firma Bildirimi|E-posta|tr|Kurumsal rezervasyon talebiniz alındı|Kurumsal Rezervasyon|Views/Email/Firma_Rezervasyon_Bildirimi.cshtml|reservation_no,hotel_name,company_name,check_in_date,check_out_date,room_count,total_price|1|2026-05-31 08:11:04
13|firma_reservation_created_partner|Kurumsal Rezervasyon Partner Bildirimi|E-posta|tr|Yeni kurumsal rezervasyon talebi|Kurumsal Rezervasyon|Views/Email/Firma_Rezervasyon_Bildirimi.cshtml|reservation_no,hotel_name,company_name,check_in_date,check_out_date,room_count,total_price|1|2026-05-31 08:11:04
14|system_health_link_report|Sistem Sağlığı Link Raporu|E-posta|tr|Sistem link kontrol raporu|Link Kontrol Raporu|Views/Email/Link_Kontrol_Raporu.cshtml|report_title,report_summary,report_items,generated_at|1|2026-05-31 08:11:04
15|admin_routing_notice|Admin Yönlendirme Bildirimi|E-posta|tr|Admin bildirim yönlendirmesi|Admin Routing|Views/Email/tr/Admin_Routing_Bildirimi.cshtml|email_subject,badge,title,intro,detail_html,primary_url,primary_label,event_code,occurred_at|1|2026-05-31 08:11:04
16|partner_facility_user_invite|Tesis Kullanıcı Daveti|E-posta|tr|Tesis kullanıcı daveti|Tesis Kullanıcı Daveti|Views/Email/Partner_Tesis_Kullanıcı_Daveti.cshtml|partner_name,hotel_name,invite_link,recipient_name|1|2026-05-31 08:11:04
17|developer_feedback|Beta Geri Bildirim|E-posta|tr|[BETA BİLDİRİM] {{title}}|Beta Geri Bildirim|Views/Email/tr/Developer_Bildirim.cshtml|feedback_id,panel_key,feedback_type,title,content,page_url,page_title,user_full_name,user_email,account_type,ip_address,user_agent,viewport,device_info,image_url,created_at|1|2026-05-31 08:11:04
