KULLANICI_ID|DEPARTMAN_ID|UNVAN|ISE_BASLAMA_TARIHI|YONETICI_MI
------------|------------|-----|------------------|-----------
1|2|NULL|2026-05-31|0
2|3|NULL|2026-05-31|0
3|2|NULL|2026-05-31|0
4|2|NULL|2026-05-31|0
5|2|NULL|2026-05-31|0
6|2|NULL|2026-05-31|0
7|2|NULL|2026-05-31|0
8|2|NULL|2026-05-31|0
9|2|NULL|2026-05-31|0
10|2|NULL|2026-05-31|0
11|2|NULL|2026-05-31|0
12|2|NULL|2026-05-31|0
13|2|NULL|2026-05-31|0
14|2|NULL|2026-05-31|0
15|2|NULL|2026-05-31|0
16|2|NULL|2026-05-31|0
17|2|NULL|2026-05-31|0
18|2|NULL|2026-05-31|0
19|2|NULL|2026-05-31|0
20|2|NULL|2026-05-31|0
21|2|NULL|2026-05-31|0
22|2|NULL|2026-05-31|0
23|2|NULL|2026-05-31|0
24|2|NULL|2026-05-31|0
25|2|NULL|2026-05-31|0
26|2|NULL|2026-05-31|0
27|2|NULL|2026-05-31|0
28|2|NULL|2026-05-31|0
29|2|NULL|2026-05-31|0
30|2|NULL|2026-05-31|0
31|2|NULL|2026-05-31|0
32|2|NULL|2026-05-31|0
33|2|NULL|2026-05-31|0
34|2|NULL|2026-05-31|0
35|2|NULL|2026-05-31|0
36|2|NULL|2026-05-31|0
37|2|NULL|2026-05-31|0
38|2|NULL|2026-05-31|0
39|2|NULL|2026-05-31|0
40|2|NULL|2026-05-31|0
41|1|NULL|2026-05-31|1
42|3|NULL|2026-05-31|0
43|1|NULL|2026-05-31|1
44|3|NULL|2026-05-31|0
45|3|NULL|2026-05-31|0
