KULLANICI_ID|ROL_ID|ATAYAN_KULLANICI_ID|ATAMA_TARIHI|BITIS_TARIHI
------------|------|-------------------|------------|------------
1|10|NULL|2026-05-31 08:11:04|NULL
2|12|NULL|2026-05-31 08:11:04|NULL
3|10|NULL|2026-05-31 08:11:04|NULL
4|10|NULL|2026-05-31 08:11:04|NULL
5|10|NULL|2026-05-31 08:11:04|NULL
6|10|NULL|2026-05-31 08:11:04|NULL
7|10|NULL|2026-05-31 08:11:04|NULL
8|10|NULL|2026-05-31 08:11:04|NULL
9|10|NULL|2026-05-31 08:11:04|NULL
10|10|NULL|2026-05-31 08:11:04|NULL
11|10|NULL|2026-05-31 08:11:04|NULL
12|10|NULL|2026-05-31 08:11:04|NULL
13|10|NULL|2026-05-31 08:11:04|NULL
14|10|NULL|2026-05-31 08:11:04|NULL
15|10|NULL|2026-05-31 08:11:04|NULL
16|10|NULL|2026-05-31 08:11:04|NULL
17|10|NULL|2026-05-31 08:11:04|NULL
18|10|NULL|2026-05-31 08:11:04|NULL
19|10|NULL|2026-05-31 08:11:04|NULL
20|10|NULL|2026-05-31 08:11:04|NULL
21|10|NULL|2026-05-31 08:11:04|NULL
22|10|NULL|2026-05-31 08:11:04|NULL
23|10|NULL|2026-05-31 08:11:04|NULL
24|10|NULL|2026-05-31 08:11:04|NULL
25|10|NULL|2026-05-31 08:11:04|NULL
26|10|NULL|2026-05-31 08:11:04|NULL
27|10|NULL|2026-05-31 08:11:04|NULL
28|10|NULL|2026-05-31 08:11:04|NULL
29|10|NULL|2026-05-31 08:11:04|NULL
30|10|NULL|2026-05-31 08:11:04|NULL
31|10|NULL|2026-05-31 08:11:04|NULL
32|10|NULL|2026-05-31 08:11:04|NULL
33|10|NULL|2026-05-31 08:11:04|NULL
34|10|NULL|2026-05-31 08:11:04|NULL
35|10|NULL|2026-05-31 08:11:04|NULL
36|10|NULL|2026-05-31 08:11:04|NULL
37|10|NULL|2026-05-31 08:11:04|NULL
38|10|NULL|2026-05-31 08:11:04|NULL
39|10|NULL|2026-05-31 08:11:04|NULL
40|10|NULL|2026-05-31 08:11:04|NULL
41|1|NULL|2026-05-31 08:11:04|NULL
42|12|NULL|2026-05-31 08:11:04|NULL
43|1|NULL|2026-05-31 08:11:04|NULL
44|12|NULL|2026-05-31 08:11:04|NULL
45|12|NULL|2026-05-31 08:11:04|NULL
