ROL_ID|YETKI_ID|IZIN_VAR|ATAYAN_KULLANICI_ID|ATAMA_TARIHI
------|--------|--------|-------------------|------------
1|1|1|NULL|2026-05-31 08:11:04
1|2|1|NULL|2026-05-31 08:11:04
1|3|1|NULL|2026-05-31 08:11:04
1|4|1|NULL|2026-05-31 08:11:04
1|5|1|NULL|2026-05-31 08:11:04
1|6|1|NULL|2026-05-31 08:11:04
1|7|1|NULL|2026-05-31 08:11:04
1|8|1|NULL|2026-05-31 08:11:04
1|9|1|NULL|2026-05-31 08:11:04
1|10|1|NULL|2026-05-31 08:11:04
1|11|1|NULL|2026-05-31 08:11:04
1|12|1|NULL|2026-05-31 08:11:04
1|13|1|NULL|2026-05-31 08:11:04
1|14|1|NULL|2026-05-31 08:11:04
1|15|1|NULL|2026-05-31 08:11:04
1|16|1|NULL|2026-05-31 08:11:04
1|17|1|NULL|2026-05-31 08:11:04
1|18|1|NULL|2026-05-31 08:11:04
1|19|1|NULL|2026-05-31 08:11:04
1|20|1|NULL|2026-05-31 08:11:04
1|21|1|NULL|2026-05-31 08:11:04
1|22|1|NULL|2026-05-31 08:11:04
1|23|1|NULL|2026-05-31 08:11:04
1|24|1|NULL|2026-05-31 08:11:04
1|25|1|NULL|2026-05-31 08:11:04
1|26|1|NULL|2026-05-31 08:11:04
1|27|1|NULL|2026-05-31 08:11:04
1|28|1|NULL|2026-05-31 08:11:04
1|29|1|NULL|2026-05-31 08:11:04
2|1|1|NULL|2026-05-31 08:11:04
2|2|1|NULL|2026-05-31 08:11:04
2|3|1|NULL|2026-05-31 08:11:04
2|4|1|NULL|2026-05-31 08:11:04
2|5|1|NULL|2026-05-31 08:11:04
2|9|1|NULL|2026-05-31 08:11:04
2|10|1|NULL|2026-05-31 08:11:04
2|11|1|NULL|2026-05-31 08:11:04
2|12|1|NULL|2026-05-31 08:11:04
2|18|1|NULL|2026-05-31 08:11:04
2|22|1|NULL|2026-05-31 08:11:04
3|1|1|NULL|2026-05-31 08:11:04
3|19|1|NULL|2026-05-31 08:11:04
3|20|1|NULL|2026-05-31 08:11:04
3|23|1|NULL|2026-05-31 08:11:04
3|24|1|NULL|2026-05-31 08:11:04
3|25|1|NULL|2026-05-31 08:11:04
3|26|1|NULL|2026-05-31 08:11:04
6|1|1|NULL|2026-05-31 08:11:04
6|2|1|NULL|2026-05-31 08:11:04
6|3|1|NULL|2026-05-31 08:11:04
6|21|1|NULL|2026-05-31 08:11:04
6|22|1|NULL|2026-05-31 08:11:04
7|1|1|NULL|2026-05-31 08:11:04
7|2|1|NULL|2026-05-31 08:11:04
7|9|1|NULL|2026-05-31 08:11:04
7|27|1|NULL|2026-05-31 08:11:04
7|28|1|NULL|2026-05-31 08:11:04
8|1|1|NULL|2026-05-31 08:11:04
8|16|1|NULL|2026-05-31 08:11:04
8|17|1|NULL|2026-05-31 08:11:04
8|18|1|NULL|2026-05-31 08:11:04
9|1|1|NULL|2026-05-31 08:11:04
9|16|1|NULL|2026-05-31 08:11:04
9|17|1|NULL|2026-05-31 08:11:04
9|18|1|NULL|2026-05-31 08:11:04
10|1|1|NULL|2026-05-31 08:11:04
10|2|1|NULL|2026-05-31 08:11:04
10|4|1|NULL|2026-05-31 08:11:04
10|5|1|NULL|2026-05-31 08:11:04
10|6|1|NULL|2026-05-31 08:11:04
10|7|1|NULL|2026-05-31 08:11:04
10|8|1|NULL|2026-05-31 08:11:04
11|1|1|NULL|2026-05-31 08:11:04
11|2|1|NULL|2026-05-31 08:11:04
11|9|1|NULL|2026-05-31 08:11:04
12|1|1|NULL|2026-05-31 08:11:04
12|2|1|NULL|2026-05-31 08:11:04
