"cshtml","PageCssPath","desktop","mobile","score","fe","pri"
"Views/_ViewImports.cshtml","","(layout/shell)","yes","4","fe-other","P3"
"Views/_ViewStart.cshtml","","(layout/shell)","yes","4","fe-other","P3"
"Views/Anasayfa/_AnasayfaContent.cshtml","","(layout/shell)","yes","4","fe-public","P0"
"Views/Anasayfa/_AnasayfaFooter.cshtml","","(layout/shell)","yes","4","fe-public","P0"
"Views/Anasayfa/_AnasayfaHeader.cshtml","","(layout/shell)","yes","4","fe-public","P0"
"Views/Anasayfa/_HomeHotelCard.cshtml","","(layout/shell)","yes","4","fe-public","P0"
"Views/Anasayfa/Anasayfa.cshtml","","-","MISSING","1","fe-public","P0"
"Views/Destek/Sss.cshtml","","-","MISSING","1","fe-other","P2"
"Views/Destek/YardimKategori.cshtml","","-","MISSING","1","fe-other","P2"
"Views/Destek/YardimMerkezi.cshtml","","-","MISSING","1","fe-other","P2"
"Views/Destek/YardimSayfa.cshtml","","-","MISSING","1","fe-other","P2"
"Views/Firma/_FirmaContent.cshtml","","(layout/shell)","yes","4","fe-other","P3"
"Views/Firma/_FirmaFooter.cshtml","","(layout/shell)","yes","4","fe-other","P3"
"Views/Firma/_FirmaHeader.cshtml","","(layout/shell)","yes","4","fe-other","P3"
"Views/Firma/Firma.cshtml","","-","MISSING","1","fe-other","P3"
"Views/Gelisim/Index.cshtml","","-","MISSING","1","fe-other","P3"
"Views/Home/Privacy.cshtml","","home-privacy.css","yes","4","fe-other","P3"
"Views/Kampanyalar/Detail.cshtml","","-","MISSING","1","fe-other","P2"
"Views/Kampanyalar/Index.cshtml","","kampanyalar.css","yes","4","fe-other","P2"
"Views/Kurumsal/_KurumsalContent.cshtml","","(layout/shell)","yes","4","fe-other","P2"
"Views/Kurumsal/_KurumsalFooter.cshtml","","(layout/shell)","yes","4","fe-other","P2"
"Views/Kurumsal/_KurumsalHeader.cshtml","","(layout/shell)","yes","4","fe-other","P2"
"Views/Kurumsal/Kurumsal.cshtml","","-","MISSING","1","fe-other","P2"
"Views/Legal/ContractDetail.cshtml","","-","MISSING","1","fe-other","P2"
"Views/Login/AdminLogin.cshtml","","-","MISSING","1","fe-public","P0"
"Views/Login/FirmaLogin.cshtml","","-","MISSING","1","fe-public","P0"
"Views/Login/ForgotPassword.cshtml","","-","MISSING","1","fe-public","P0"
"Views/Login/PartnerLogin.cshtml","","-","MISSING","1","fe-public","P0"
"Views/Login/ResetPassword.cshtml","","-","MISSING","1","fe-public","P0"
"Views/Login/UserLogin.cshtml","","-","MISSING","1","fe-public","P0"
"Views/Login/UserLogin2FA.cshtml","","-","MISSING","1","fe-public","P0"
"Views/Login/VerifyEmail.cshtml","","-","MISSING","1","fe-public","P0"
"Views/Oteller/HaritaOteller.cshtml","","-","MISSING","1","fe-public","P0"
"Views/Oteller/OtelDetay.cshtml","","-","MISSING","1","fe-public","P0"
"Views/Oteller/OtelListeleme.cshtml","","otel-listeleme.css","yes","4","fe-public","P0"
"Views/Oteller/Partials/_ReservationCreateButton.cshtml","","(layout/shell)","yes","4","fe-public","P0"
"Views/Paneller/Admin/_AdminFooter.cshtml","","(layout/shell)","yes","4","fe-admin","P1"
"Views/Paneller/Admin/_AdminMobileNav.cshtml","","(layout/shell)","yes","4","fe-admin","P1"
"Views/Paneller/Admin/_AdminPanelLayout.cshtml","","(layout/shell)","yes","4","fe-admin","P1"
"Views/Paneller/Admin/_AdminSectionPage.cshtml","","(layout/shell)","yes","4","fe-admin","P1"
"Views/Paneller/Admin/_AdminSidebar.cshtml","","(layout/shell)","yes","4","fe-admin","P1"
"Views/Paneller/Admin/_AdminTopNav.cshtml","","(layout/shell)","yes","4","fe-admin","P1"
"Views/Paneller/Admin/ActiveHotels.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/AdminActionLogs.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/ApprovalCenter.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/Backups.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/Blog.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/Campaigns.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/CommerceInsight.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/Commissions.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/CompanyApplications.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/CompanyReservations.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/Complaints.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/Contracts.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/Dashboard.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/DevelopmentRequests.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/EmailQueue.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/EmailRouting.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/EmailTemplates.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/Faq.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/GeoSearchLogs.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/HelpCenter.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/HotelCoordinateChanges.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/HotelDetail.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/Hotels.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/Invoices.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/ListingSubscriptions.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
